rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Information Technology;Content Servers
3,cloudflare.com,Technology
4,gstatic.com,Content Servers
5,microsoft.com,Information Technology;Business
6,facebook.com,Social Networks
7,apple.com,Information Technology;Technology
8,amazonaws.com,Technology
9,googlevideo.com,Search Engines;Video Streaming
10,fbcdn.net,Social Networks
11,doubleclick.net,Advertisements
12,whatsapp.net,Instant Messengers;Internet Phone & VOIP
13,instagram.com,Social Networks
14,amazon.com,Ecommerce
15,youtube.com,Video Streaming
16,googleusercontent.com,Content Servers
17,googlesyndication.com,Search Engines;Advertisements
18,bing.com,Search Engines
19,ntp.org,Technology;Government/Legal
20,live.com,Technology;Webmail
21,icloud.com,File Sharing;Content Servers
22,akadns.net,Content Servers
23,tiktokcdn.com,Content Servers;Social Networks
24,gvt2.com,Content Servers
25,tiktokv.com,Social Networks;Video Streaming
26,apple-dns.net,Content Servers
27,netflix.com,Movies;Video Streaming
28,cloudflare-dns.com,Content Servers
29,cloudfront.net,Content Servers;Science;Technology
30,ytimg.com,Content Servers
31,yahoo.com,News & Media
32,akamai.net,Content Servers
33,cdninstagram.com,Content Servers
34,aaplimg.com,Information Technology;Content Servers;Technology
35,spotify.com,Audio Streaming
36,office.com,Business
37,samsung.com,Home & Garden;Technology
38,gvt1.com,Content Servers
39,akamaiedge.net,Content Servers
40,ui.com,Technology
41,dns.google,Information Technology
42,one.one,Information Technology
43,googletagmanager.com,Content Servers
44,msn.com,News & Media
45,googleadservices.com,Advertisements
46,criteo.com,Business
47,wikipedia.org,Education;Reference
48,google-analytics.com,Business;Technology
49,msftncsi.com,Content Servers
50,app-measurement.com,APIs
51,fastly.net,Information Security;Information Technology;Technology
52,amazon-adsystem.com,Advertisements
53,snapchat.com,Photography;Social Networks
54,trafficmanager.net,Information Technology;Content Servers
55,3gppnetwork.org,Content Servers
56,azure.com,Technology
57,roblox.com,Gaming;Safe for Kids
58,applovin.com,Business;Technology
59,baidu.com,Search Engines
60,unity3d.com,Gaming;Technology
61,linkedin.com,Professional Networking
62,steamserver.net,Gaming;Content Servers
63,appsflyersdk.com,Content Servers;APIs
64,rubiconproject.com,Business;Technology
65,windows.com,Information Technology
66,app-analytics-services.com,Content Servers
67,a2z.com,Content Servers
68,ggpht.com,Content Servers
69,pubmatic.com,Business;Technology
70,sentry.io,Business
71,microsoftonline.com,Technology
72,taboola.com,Business;Advertisements
73,office.net,Content Servers
74,skype.com,Instant Messengers;Internet Phone & VOIP
75,windows.net,Technology
76,xiaomi.com,Technology
77,adnxs.com,Content Servers
78,qq.com,News & Media
79,whatsapp.com,Instant Messengers;Internet Phone & VOIP
80,adtrafficquality.google,Information Security
81,tiktokcdn-us.com,Content Servers
82,windowsupdate.com,Information Technology;Business
83,doubleverify.com,Business;Technology
84,digicert.com,Information Security
85,android.com,Technology
86,sharepoint.com,File Sharing;Technology
87,vungle.com,Business;Technology
88,adsrvr.org,Advertisements
89,miui.com,Technology
90,casalemedia.com,Business;Technology
91,chatgpt.com,Artificial Intelligence;Chat
92,capcutapi.com,Content Servers
93,msftconnecttest.com,Content Servers
94,amazon.dev,Content Servers
95,gmail.com,Webmail
96,office365.com,Technology
97,zoom.us,Technology
98,cdn-apple.com,Content Servers
99,mikrotik.com,Technology
100,adsafeprotected.com,Advertisements
