name,value,domain,path,expires,size,HTTPOnly,secure,sameSite,partition Key Site,Cross Site,priority,phase,website,,,,,,
utag_main__ss,0%3Bexp-session,.intuit.com,/,2025-11-24T18:06:30.000Z,28,,,,,,Medium,no_action,intuit.com,,,,,,
utag_main_ses_id,1764004846572%3Bexp-session,.intuit.com,/,2025-11-24T18:06:30.000Z,43,,,,,,Medium,no_action,intuit.com,,,,,,
utag_main__st,1764007590283%3Bexp-session,.intuit.com,/,2025-11-24T18:06:30.000Z,40,,,,,,Medium,no_action,intuit.com,,,,,,
bm_sv,1C178CDCB956238126D89F672B0DDA34~YAAQbo8UApEPGJqaAQAAAg/wth3ZPnbW5lV5F92Xhn4FKrthVNqzQzB5MCLbRtbclkBx1ni/oBkyneDQnpD6dqZhaisFpXuv4zbyuXdytAN5x7UfgUkCNcPLXKu1Afe3W93Xl3+ump5LpUAkf/xlqY5rKiYcAJ9gnhHfpHpDTnneUroVaF5EaWHbOBW06jxhpoSkzGGkySAEmbVF4D7Wf/MRF2SA+vXNcOtQ1eLxQp+k99HLbZ0tF0qy+770TmGV~1,.intuit.com,/,2025-11-24T19:20:45.839Z,296,,✓,,,,Medium,no_action,intuit.com,,,,,,
ccpa,1|0,.intuit.com,/,2026-11-25T01:36:30.000Z,7,,✓,None,,,Medium,no_action,intuit.com,,,,,,
cpra,1|0,.intuit.com,/,2026-11-25T01:36:30.000Z,7,,✓,None,,,Medium,no_action,intuit.com,,,,,,
gdpr,1|0|0|0,.intuit.com,/,2026-11-24T00:00:00.403Z,11,,✓,None,,,Medium,no_action,intuit.com,,,,,,
utag_main__sn,2,.intuit.com,/,2026-11-24T17:36:30.000Z,14,,,,,,Medium,no_action,intuit.com,,,,,,
utag_main__pn,3%3Bexp-session,.intuit.com,/,2025-11-24T18:06:30.000Z,28,,,,,,Medium,no_action,intuit.com,,,,,,
utag_main__se,3%3Bexp-session,.intuit.com,/,2025-11-24T18:06:30.000Z,28,,,,,,Medium,no_action,intuit.com,,,,,,
AKA_A2,A,.intuit.com,/,2025-11-24T18:21:21.012Z,7,✓,✓,,,,Medium,no_action,intuit.com,,,,,,
ak_bmsc,B025C2006BCE91858815B37B5709466E~000000000000000000000000000000~YAAQBrMUAmDCIqyaAQAAw7mgth36RYRdOiczZZgEnbt5cJiRXXuV44lGh85noUc9jYlod0HOf0KEX4eYZ/0ZYqINFeyH99cBYc6CYB8rxnBnyuIegH7tFyiKOQzBT5K/v/6aIIbHH6jE5D8GdlZiJmmG0AX8Mb6cARY9oVzvnbI3cqGk+iuw/N9kHAXCeVBG73cUQgZmm2RbuF5RvUtXZ/Nt/7yYSRFZccnnxmY/I2OGI+FD6dqHSM6lxpyroqezz5s7IcRkcwIybY0bvg6PdNwnF8XdwD9WcFfaIcpyHF+PLyFJTvogkjetdhFyLgR9pAag5F3vnG9QoNkPqFqEHYDdVCvKM/4nHel1h4XF5nyDEoQisVN2yrAY40sENZ61d7jJqYnReIS3Chg=,.intuit.com,/,2025-11-24T18:09:38.084Z,471,✓,,,,,Medium,no_action,intuit.com,,,,,,
AKES_GEO,DE~HE,.intuit.com,/,Session,13,,✓,,,,Medium,no_action,intuit.com,,,,,,
ivid,a94304b9-01f0-47c7-95ef-3bffcf8d85c1,.intuit.com,/,2026-12-29T17:36:00.869Z,40,,✓,None,,,Medium,no_action,intuit.com,,,,,,
CONSENTMGR,c1:0%7Cc2:1%7Cc3:1%7Cc4:1%7Cc5:1%7Cc6:1%7Cc7:1%7Cc8:1%7Cc9:1%7Cc10:1%7Cc11:1%7Cc12:1%7Cc13:1%7Cc14:1%7Cc15:1%7Cc16:1%7Cts:1764005790290%7Cconsent:true,.intuit.com,/,2026-11-24T17:36:30.000Z,160,,,,,,Medium,no_action,intuit.com,,,,,,
OptanonConsent,isGpcEnabled=0&datestamp=Tue+Nov+25+2025+01%3A36%3A34+GMT%2B0800+(China+Standard+Time)&version=202501.1.0&browserGpcFlag=0&isIABGlobal=false&consentId=e4b44bef-804f-42fa-a456-8f10a52de133&interactionCount=1&isAnonUser=1&landingPath=https%3A%2F%2Fwww.intuit.com%2F&groups=BG195%3A0%2C1%3A1%2CBG196%3A0%2C2%3A0%2CBG197%3A0%2C3%3A0%2CBG198%3A0%2C4%3A0&hosts=H317%3A0%2CH28%3A0%2CH343%3A0%2CH322%3A0%2CH336%3A0%2CH117%3A0%2CH118%3A0%2CH240%3A0%2CH238%3A0%2CH122%3A0%2CH123%3A0%2CH44%3A0%2CH124%3A0%2CH288%3A0%2CH289%3A0%2CH126%3A0%2CH315%3A0%2CH318%3A0%2CH130%3A0%2CH25%3A0%2CH26%3A0%2CH187%3A0%2CH323%3A0%2CH202%3A0%2CH27%3A0%2CH209%3A0%2CH45%3A0%2CH133%3A0%2CH134%3A0%2CH427%3A0%2CH428%3A0%2CH171%3A0%2CH114%3A0%2CH30%3A0%2CH328%3A0%2CH349%3A0%2CH12%3A0%2CH332%3A0%2CH33%3A0%2CH35%3A0%2CH335%3A0%2CH137%3A0%2CH138%3A0%2CH115%3A0%2CH203%3A0%2CH355%3A0%2CH140%3A0%2CH339%3A0&genVendors=,.intuit.com,/,2026-11-24T17:36:34.000Z,896,,,Lax,,,Medium,no_action,intuit.com,,,,,,
AKES_GEO,DE~HE,.intuit.com,/,Session,13,,✓,,,,Medium,reject,intuit.com,,,,,,
